username,user_country,room_view,stay_duration,stay_type,review_post_date,review_title,rating,original_lang,review_text_liked,review_text_disliked,full_review,en_full_review,found_helpful,found_unhelpful,owner_resp_text
Mouret,Cambodia,Deluxe Family Room,1 night,Solo traveller,12-20-2024 00:00:00,Run down,7.0,en-us,"Location, the view","Bad maintenance, everything is run down, too expensive for what is it. I ordered some room service and it was missing all « the fancies » ingredients of the recioe.","title: Run down. liked: Location, the view. disliked: Bad maintenance, everything is run down, too expensive for what is it. I ordered some room service and it was missing all « the fancies » ingredients of the recioe.","title: Run down. liked: Location, the view. disliked: Bad maintenance, everything is run down, too expensive for what is it. I ordered some room service and it was missing all « the fancies » ingredients of the recioe.",0,0,
Priscilla,United States,Two-Bedroom Villa,3 nights,Family,11-26-2024 00:00:00,Very good,8.0,en-us,"Great out-of-the-way location with a great view. Very good value for the area. Staff was friendly, and restaurant meals taste good.","Room facilities can be improved, especially the bathroom. It's a bit old and can use to be updated/modernized. Not enough lighting in room. Limited breakfast options if you're not that into eggs.","title: Very good. liked: Great out-of-the-way location with a great view. Very good value for the area. Staff was friendly, and restaurant meals taste good. disliked: Room facilities can be improved, especially the bathroom. It's a bit old and can use to be updated/modernized. Not enough lighting in room. Limited breakfast options if you're not that into eggs.","title: Very good. liked: Great out-of-the-way location with a great view. Very good value for the area. Staff was friendly, and restaurant meals taste good. disliked: Room facilities can be improved, especially the bathroom. It's a bit old and can use to be updated/modernized. Not enough lighting in room. Limited breakfast options if you're not that into eggs.",0,0,
Michelle,Indonesia,Two-Bedroom Villa,1 night,Family,11-11-2024 00:00:00,So beautiful,8.0,en-us,Loved our stay! The grounds and view are stunning. You feel like you are actually in the clouds on a foggy morning. The beds are very comfortable. The restaurant food was delicious.,The rooms need some maintenance but they were still good.,title: So beautiful. liked: Loved our stay! The grounds and view are stunning. You feel like you are actually in the clouds on a foggy morning. The beds are very comfortable. The restaurant food was delicious. disliked: The rooms need some maintenance but they were still good.,title: So beautiful. liked: Loved our stay! The grounds and view are stunning. You feel like you are actually in the clouds on a foggy morning. The beds are very comfortable. The restaurant food was delicious. disliked: The rooms need some maintenance but they were still good.,0,0,
Leah,Norway,Deluxe Double Room,1 night,Couple,09-09-2024 00:00:00,Good,7.0,en,The food! The food in the restaurant was great! We ate both dinner and breakfast.And staff there was excellent! View I amazing and the grounds are amazing. There used to be a pool many years ago but not anymore. (Although some room descriptions in booking.com says pool view) they should remove this.,"I absolutely did not like the room we stayed in. We stayed in the white bungalows in the middle of the property. They smelled so moldy it was really bad. It just hit me in the face when I walked in. I had to sleep with the door open the whole night with fan on next to the open door to get the fresh air in. They have other bigger/more expensive bungalows so they might be better, at least they looked more new from the outside. But I would definitely not stay in the white bungalows again.","title: Good. liked: The food! The food in the restaurant was great! We ate both dinner and breakfast.And staff there was excellent! View I amazing and the grounds are amazing. There used to be a pool many years ago but not anymore. (Although some room descriptions in booking.com says pool view) they should remove this. disliked: I absolutely did not like the room we stayed in. We stayed in the white bungalows in the middle of the property. They smelled so moldy it was really bad. It just hit me in the face when I walked in. I had to sleep with the door open the whole night with fan on next to the open door to get the fresh air in. They have other bigger/more expensive bungalows so they might be better, at least they looked more new from the outside. But I would definitely not stay in the white bungalows again.","title: Good. liked: The food! The food in the restaurant was great! We ate both dinner and breakfast.And staff there was excellent! View I amazing and the grounds are amazing. There used to be a pool many years ago but not anymore. (Although some room descriptions in booking.com says pool view) they should remove this. disliked: I absolutely did not like the room we stayed in. We stayed in the white bungalows in the middle of the property. They smelled so moldy it was really bad. It just hit me in the face when I walked in. I had to sleep with the door open the whole night with fan on next to the open door to get the fresh air in. They have other bigger/more expensive bungalows so they might be better, at least they looked more new from the outside. But I would definitely not stay in the white bungalows again.",1,0,
Dimuro,Indonesia,Deluxe Family Room,1 night,Group,07-28-2024 00:00:00,Superb,9.0,en-us,The place is really nice and relax! The place is really good!,,title: Superb. liked: The place is really nice and relax! The place is really good!,title: Superb. liked: The place is really nice and relax! The place is really good!,0,0,
Fong,Indonesia,Suite Room,2 nights,Family,07-04-2024 00:00:00,You have to try this yourself!,8.0,en-us,"Nice property, clean and tidy. Food is good too.",,"title: You have to try this yourself! liked: Nice property, clean and tidy. Food is good too.","title: You have to try this yourself! liked: Nice property, clean and tidy. Food is good too.",0,0,
Hartmuth,Germany,Two-Bedroom Villa,3 nights,Family,07-04-2024 00:00:00,Good,7.0,en,The Hotel is in a gool location with a beautiful view. There is a nice garden and a good restaurant. Friendly staff.,We stayed in a bungalow with 2 bedrooms. That does not have a roofed terrasse with chairs and a table. The buildings would need some more maintenance.,title: Good. liked: The Hotel is in a gool location with a beautiful view. There is a nice garden and a good restaurant. Friendly staff. disliked: We stayed in a bungalow with 2 bedrooms. That does not have a roofed terrasse with chairs and a table. The buildings would need some more maintenance.,title: Good. liked: The Hotel is in a gool location with a beautiful view. There is a nice garden and a good restaurant. Friendly staff. disliked: We stayed in a bungalow with 2 bedrooms. That does not have a roofed terrasse with chairs and a table. The buildings would need some more maintenance.,0,0,
Olivier,Belgium,Deluxe Double Room,2 nights,Couple,07-03-2024 00:00:00,Very good,8.0,en,Lovely stay in Village Above the Clouds. Very peaceful and quiet location with amazing view.. Great staff and lovely yoga in the morning.,,title: Very good. liked: Lovely stay in Village Above the Clouds. Very peaceful and quiet location with amazing view.. Great staff and lovely yoga in the morning.,title: Very good. liked: Lovely stay in Village Above the Clouds. Very peaceful and quiet location with amazing view.. Great staff and lovely yoga in the morning.,0,0,
Maya,Indonesia,Two-Bedroom Villa,2 nights,Group,07-02-2024 00:00:00,Very good,8.0,en-us,Views are great and nice walk for rice fields,The public sitting area was dirty and seemed never been maintained.,title: Very good. liked: Views are great and nice walk for rice fields. disliked: The public sitting area was dirty and seemed never been maintained.,title: Very good. liked: Views are great and nice walk for rice fields. disliked: The public sitting area was dirty and seemed never been maintained.,0,0,
Mamanyabena,Indonesia,Deluxe Family Room,1 night,Family,06-20-2024 00:00:00,Very good,8.0,en-us,The view,Plant at the gazebo need more attention and maintenance. Bathroom could be cleaner.,title: Very good. liked: The view. disliked: Plant at the gazebo need more attention and maintenance. Bathroom could be cleaner.,title: Very good. liked: The view. disliked: Plant at the gazebo need more attention and maintenance. Bathroom could be cleaner.,0,0,
